S,R,O
lobby,at location,at at hotel
go for haircut,has first subevent,sit in chair
mission,part of,san francisco
car,used for,travel
forklift,used for,lift heavy object
statement pool,used for,clean regularly help answer question swim pool often get dirt in it from dirt in wind and from dirt on person
go to toilet,motivated by goal,urinate
vase,at location,on table
go to hairdresser,has prequisite,make appointment
person,not desires,lose love one
couch,used for,sit on
game,used for,play
bottle,is a,container for liquid
take final exam,motivated by goal,pass course
go to cinema,motivated by goal,watch movie
go to concert,motivated by goal,hear music
person,not desires,be bore
play baseball,motivated by goal,exercise
sand,at location,on beach
someone,at location,in school
bookshelf,used for,display book
ribosome,part of,animal cell
pen,used for,write on paper
lie down and close your eye,motivated by goal,go to sleep
audience,at location,at movie
bedroom,at location,in bed
rack,at location,in oven
torah,at location,at synagogue
wed cake,at location,at friend wed
do housework,motivated by goal,like clean house
conductor,at location,at concert
tree,at location,in park
turtle,has property,slow
someone,at location,in middle of desert
lip,used for,talk
playground,at location,at park
violin,made of,wood
bus,at location,at bus depot
go for jog,causes,get exercise
noun,part of,speech
buy ticket,motivated by goal,attend classical concert
star,at location,in sky
scientist,at location,at mit media lab
bowl ball,has property,heavy
person,not desires,feel sad
letter,at location,in mail
american flag,has property,red white and blue
jelly,at location,in jar
kitchen,used for,prepare food
linen chest,used for,store linen
something,at location,in forest
person,desires,good teacher
person,not desires,be victim
sofa,used for,sit
rock,at location,on moon
get weapon and find somebody,motivated by goal,kill
something,capable of,break
anchor,at location,in boat
go to bed,used for,rest
seat,at location,at theatre
hypocrisy,at location,at church
candle,used for,light
bicycle,is a,mode of transportation
train,is a,form of transportation
pencil,at location,at desk
horseshoe,made of,metal
someone,capable of,clean house
seat,used for,sit on
agenda,at location,at meet
puppy,is a,young dog
child,is a,young person
jew,at location,at synagogue
apply for job,motivated by goal,begin work
acorn,at location,under tree
lysosome,part of,animal cell
go for jog,used for,exercise
laugh at joke,motivated by goal,it be funny
horse,has property,strong
conquer nation,motivated by goal,power
go to doctor,motivated by goal,have checkup
go to grocery store,motivated by goal,grocery shop
river,used for,transport good
telephone directory,used for,find phone number
clock,capable of,tell you what time it be
person,not desires,lie
letter,used for,communicate
toothbrush handle,used for,hold toothbrush
marble,used for,play game
bass clarinet,is a,musical instrument
go to bed,used for,sleep
ride,at location,at fair
launch platform,used for,launch rocket
buy ticket,motivated by goal,go to baseball game
barf bag,at location,in plane
cow,at location,in meadow
someone,at location,in kitchen
dish,at location,in cupboard
battle,is a,part of war
someone,capable of,fish
open book,motivated by goal,study for subject
flower,at location,in meadow
kiss someone with mumps,motivated by goal,catch mumps
bathroom,at location,at home
ping pong,is a,sport
metal,has property,malleable
infant,is a,baby
customer,at location,at work
stamp,at location,at post office
desk,at location,in class
this,defined as,queen of england queen elisabeth she be read book of unknown nature dress in her royel garment cape crown jewlery etc etc. mostly in white
waitress,at location,in restaurant
get key,motivated by goal,take car for drive
person,desires,peace of mind
hooker,at location,on street
clean your room,motivated by goal,it be untidy
bed,at location,at hospital
person,desires,good meal
star,at location,in outerspace
robbery,is a,crime
find remote control,motivated by goal,use television
water,used for,extinguish fire
stair down,used for,go downstairs
car,at location,at car show
improve your image,motivated by goal,think you be ugly
person,not desires,lose game
chalk,used for,write on chalkboard
credit card,used for,buy thing
something,capable of,move
basketball,at location,at gym
someone,capable of,skate
go to cinema,motivated by goal,enjoy film
turnpike,at location,in new jersey
dry seaweed,at location,on beach
kitchen,at location,downstairs
homeless person,at location,on street
something,at location,in street
rock,at location,at bottom of sea
go to hairdresser,motivated by goal,have haircut
go to store,motivated by goal,christmas shop
fish,at location,under water
person,at location,in bed
studio 3k,part of,ge build
take sleep pill,motivated by goal,lose consciousness
have epileptic fit,motivated by goal,have epilepsy
something,capable of,sing
put them in wash machine,motivated by goal,clean your clothe
person,not desires,headache
sticky floor,at location,at movie
pant,is a,clothe
piano,used for,make music
bible,at location,at church
pin,has property,sharp
mugger,at location,on subway
someone,capable of,paint picture
street sign,at location,at corner of two street
table,at location,at restaurant
sidewalk,used for,walk
desk,at location,in office
cup,used for,hold liquid
someone,capable of,run
music,used for,listen
someone,at location,on roof
something,capable of,fly
someone,capable of,program
someone,capable of,learn
go to store,motivated by goal,buy present
casket,at location,at funeral
turn on radio,motivated by goal,listen to music
person,desires,have sex
your possession,at location,at your house
nuclear membrane,part of,animal cell
chromosome,part of,animal cell
cougar,is a,big cat
sofa,used for,sit on
hockey player,at location,at hockey game
truck,at location,on street
something,at location,on roof
person,not desires,get divorce
egg,used for,eat
run,motivated by goal,exercise
calculate thing quickly,motivated by goal,be in hurry
advance into battle,motivated by goal,fight
surfer,at location,at beach
hammer,used for,hammer nail
read newspaper,used for,get news
become waiter or waitress,motivated by goal,wait on table
commercial,at location,on television
something,at location,in village
go to barber,motivated by goal,go to get haircut
do housework,motivated by goal,house be dirty
person,not desires,be control
something,at location,under desk
sidewalk,used for,walk on
shell,at location,on beach
bookshelf,used for,store book
bill,at location,in mail box
go on stage,motivated by goal,be actor
go to toilet,motivated by goal,empty your bladder
go to barber,motivated by goal,have haircut
something,capable of,eat
person,desires,understand
open space,at location,at park
someone,capable of,eat breakfast
planet,at location,in space
food,at location,in pantry
have physical examination,motivated by goal,stay healthy
ocean,is a,large body of water
fork,at location,in restaurant
plant,at location,on windowsill
passenger,at location,in backseat of car
take break,used for,rest
neighbour,at location,next door
mother,at location,at home
polar bear,at location,in arctic
something,at location,on table
gallery,used for,display art
jellyfish,at location,on beach
someone,capable of,take shower
prostitute,at location,at street corner
someone,capable of,cook
ocean,has property,salty
cashier,at location,at store
mouse,at location,wood pile
bus pass,at location,wallet
pulpit,at location,church
lemur,at location,zoo
lizard,at location,pet store
instrument organ,at location,church
grape,at location,store
fox,at location,forrest
koala,at location,eucalyptus tree
saucer,at location,cupboard
mammoth,at location,glacier
bowl,at location,kitchen
weasel,at location,burrow
grape,at location,refridgerator
lizard,at location,desert
snake,at location,grass
human,at location,city
bee,at location,flower bed
soap,at location,bathroom
snake,at location,wood
nerve,at location,body
kitten,at location,trouble
human,at location,mall
fox,at location,field
lizard,at location,warm climate
potato,at location,farm
wiener dog,at location,home
kitten,at location,box
mouse,at location,barn
crab,at location,river
monkey,at location,tree
crab,at location,tidal pool
cat,at location,pet store
snake,at location,tall grass
cat,at location,tree
blowfish,at location,sea
mouse,at location,field
soap,at location,shower
kitchen table,at location,kitchen
moisturizer,at location,bathroom
